Time,AE Data,EC Data,Mech Data,Output
804.5061423,28012.69663,7.60E-07,0.093325391,0
805.5056877,26916.50558,7.58E-07,0.094241188,0
806.5051311,25973.78277,7.58E-07,0.09431948,0
807.5044238,26777.99257,7.61E-07,0.093673982,0
808.5059328,26499.58955,7.62E-07,0.092735749,0
809.504794,29206.55431,7.58E-07,0.091845133,0
810.504684,28023.56877,7.59E-07,0.093114167,0
811.5058209,26999.47761,7.54E-07,0.093746044,0
812.5049627,26906.30597,7.56E-07,0.094812938,0
813.5031461,27201.27341,7.55E-07,0.093912323,0
814.5026022,27003.0855,7.53E-07,0.091995163,0
815.5066914,28132.89963,7.54E-07,0.092168137,0
816.5068165,28782.09738,7.53E-07,0.092799061,0
817.5064312,27870.52045,7.54E-07,0.094227303,0
818.5059551,26906.29213,7.56E-07,0.094894093,0
819.5050929,27876.171,7.50E-07,0.093027411,0
820.5042105,27296.42857,7.53E-07,0.094770088,0
821.5024535,28206.54275,7.49E-07,0.094583912,0
822.5052416,29287.39777,7.51E-07,0.096288261,0
823.5066791,27784.81343,7.51E-07,0.097465834,0
824.5066418,27021.34328,7.50E-07,0.09727023,0
825.5062687,27589.06716,7.50E-07,0.09682692,0
826.504382,26998.72659,7.49E-07,0.095389152,0
827.5044238,28390.33457,7.46E-07,0.095050432,0
828.5041948,29107.22846,7.47E-07,0.095862822,0
829.5036431,27654.79554,7.47E-07,0.097205491,0
830.505,27218.43284,7.46E-07,0.097622595,0
831.5054104,28093.8806,7.45E-07,0.09617317,0
832.5033708,27358.31461,7.45E-07,0.095622084,0
833.5046296,28203.85185,7.43E-07,0.094887506,0
834.5064045,29126.92884,7.42E-07,0.095703714,0
835.5063197,27304.38662,7.39E-07,0.096999552,0
836.5057303,26523.14607,7.41E-07,0.09719223,0
837.5043657,27574.85075,7.41E-07,0.096540101,0
838.5059108,27258.28996,7.40E-07,0.09538711,0
839.5058427,28645.61798,7.39E-07,0.094545282,0
840.5048699,28938.06691,7.37E-07,0.095956062,0
841.5046442,27785.73034,7.35E-07,0.096688462,0
